id;Удой, кг;ЭКЕ (Энергетическая кормовая единица);Сырой протеин, г;СПО (Сахаро-протеиновое соотношение);Порода;Тип пастбища;порода папы_быка;Жирность,%;Белок,%;Вкус молока;Возраст
40;6303;16,3;1726;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,7;3,075;вкусно;более_2_лет
41;6400;14,6;1824;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,49;3,076;не вкусно;более_2_лет
42;6581;15,5;1797;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,71;3,075;вкусно;более_2_лет
43;6033;13,9;1717;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,72;3,078;не вкусно;более_2_лет
44;5888;14,5;1830;0,885;РефлешнСоверинг;Холмистое;Айдиалл;3,49;3,072;не вкусно;более_2_лет
45;7061;16,4;2041;0,96;Вис Бик Айдиал;Холмистое;Айдиалл;3,72;3,079;вкусно;более_2_лет
46;5796;14,1;1797;0,895;Вис Бик Айдиал;Равнинные;Айдиалл;3,49;3,074;вкусно;более_2_лет
47;7173;16,7;2146;0,95;РефлешнСоверинг;Холмистое;Айдиалл;3,72;3,075;вкусно;более_2_лет
48;6561;15,8;1932;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,71;3,074;не вкусно;более_2_лет
49;6370;15,5;1974;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,73;3,076;вкусно;более_2_лет
50;6876;16,2;1930;0,95;РефлешнСоверинг;Холмистое;Айдиалл;3,71;3,079;вкусно;более_2_лет
51;5593;13,4;1675;0,895;Вис Бик Айдиал;Равнинные;Айдиалл;3,25;3,075;вкусно;менее_2_лет
52;6353;14,7;1867;0,93;РефлешнСоверинг;Равнинные;Айдиалл;3,72;3,073;не вкусно;более_2_лет
53;5517;12,2;1905;0,895;Вис Бик Айдиал;Равнинные;Айдиалл;3,34;3,079;не вкусно;менее_2_лет
54;5378;14,9;1784;0,895;Вис Бик Айдиал;Холмистое;Айдиалл;3,24;3,078;вкусно;менее_2_лет
55;5383;13,6;1955;0,895;РефлешнСоверинг;Холмистое;Айдиалл;3,53;3,08;не вкусно;менее_2_лет
56;5492;12,5;1816;0,895;РефлешнСоверинг;Холмистое;Айдиалл;3,53;3,076;вкусно;менее_2_лет
57;5643;13,4;2041;0,895;РефлешнСоверинг;Холмистое;Айдиалл;3,53;3,077;вкусно;более_2_лет
58;6601;15,7;2097;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,73;3,081;вкусно;более_2_лет
59;6274;14,8;2264;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,53;3,081;вкусно;более_2_лет
60;6697;16,5;1769;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,71;3,077;не вкусно;более_2_лет
61;6924;16,4;2121;0,95;РефлешнСоверинг;Холмистое;Айдиалл;3,72;3,075;вкусно;более_2_лет
62;5639;11,8;1664;0,895;РефлешнСоверинг;Холмистое;Айдиалл;3,16;3,071;вкусно;более_2_лет
63;6564;16,3;1991;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,71;3,075;не вкусно;более_2_лет
64;6073;14;2122;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,53;3,079;вкусно;более_2_лет
65;6559;16,3;2058;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,72;3,077;вкусно;более_2_лет
66;6163;15,2;1999;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,72;3,079;не вкусно;более_2_лет
67;6006;14,6;2327;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,71;3,077;вкусно;более_2_лет
68;5940;14,2;2100;0,885;РефлешнСоверинг;Холмистое;Айдиалл;3,53;3,076;вкусно;более_2_лет
69;6179;15,2;2122;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,48;3,08;не вкусно;более_2_лет
70;5565;12,5;1894;0,895;Вис Бик Айдиал;Равнинные;Айдиалл;3,61;3,079;вкусно;менее_2_лет
71;7222;16,8;2157;0,95;Вис Бик Айдиал;Холмистое;Айдиалл;3,7;3,076;вкусно;более_2_лет
72;5809;13,5;2093;0,895;РефлешнСоверинг;Равнинные;Айдиалл;3,61;3,079;не вкусно;более_2_лет
73;5718;13,7;2212;0,895;РефлешнСоверинг;Холмистое;Айдиалл;3,61;3,077;вкусно;более_2_лет
74;5381;12,9;1804;0,895;РефлешнСоверинг;Равнинные;Айдиалл;3,61;3,074;не вкусно;менее_2_лет
75;6173;13,9;1703;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,48;3,074;не вкусно;более_2_лет
76;5281;12,8;1769;0,885;РефлешнСоверинг;Холмистое;Айдиалл;3,48;3,072;вкусно;менее_2_лет
77;6865;14,9;2189;0,93;Вис Бик Айдиал;Равнинные;Айдиалл;3,71;3,071;не вкусно;более_2_лет
78;5871;14,7;1795;0,895;Вис Бик Айдиал;Равнинные;Айдиалл;3,61;3,082;вкусно;более_2_лет
79;6037;14,4;2106;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,73;3,078;вкусно;более_2_лет
80;5813;12,8;1888;0,895;Вис Бик Айдиал;Равнинное;Айдиалл;3,61;3,079;вкусно;более_2_лет
81;5640;14,9;1849;0,895;Вис Бик Айдиал;Равнинное;Айдиалл;3,48;3,073;не вкусно;более_2_лет
82;6618;15,9;2285;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,72;3,074;вкусно;более_2_лет
83;6474;15,7;1838;0,93;Вис Бик Айдиал;Равнинное;Айдиалл;3,72;3,077;не вкусно;более_2_лет
84;6240;14,9;1790;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,26;3,075;вкусно;более_2_лет
85;6686;16,7;2018;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,72;3,07;вкусно;более_2_лет
86;6398;15,9;1750;0,93;Вис Бик Айдиал;Равнинное;Айдиалл;3,73;3,079;вкусно;более_2_лет
87;5564;13,4;1883;0,885;Вис Бик Айдиал;Холмистое;Айдиалл;3,61;3,079;вкусно;менее_2_лет
88;6153;14;1909;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,61;3,076;не вкусно;более_2_лет
89;5533;14,6;1703;0,895;Вис Бик Айдиал;Равнинное;Айдиалл;3,57;3,081;не вкусно;менее_2_лет
90;5776;13,9;1778;0,885;Вис Бик Айдиал;Холмистое;Айдиалл;3,57;3,074;не вкусно;более_2_лет
91;6572;15,7;1800;0,93;Вис Бик Айдиал;Равнинное;Айдиалл;3,73;3,078;вкусно;более_2_лет
92;6036;16,2;2178;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,71;3,073;вкусно;более_2_лет
93;5931;15,6;1783;0,895;Вис Бик Айдиал;Холмистое;Айдиалл;3,57;3,073;вкусно;более_2_лет
94;6372;14,1;1984;0,93;Вис Бик Айдиал;Равнинное;Айдиалл;3,72;3,076;не вкусно;более_2_лет
95;6403;14,3;1721;0,93;Вис Бик Айдиал;Равнинное;Айдиалл;3,73;3,074;вкусно;более_2_лет
96;6976;16,4;2263;0,95;Вис Бик Айдиал;Холмистое;Айдиалл;3,71;3,078;вкусно;более_2_лет
97;6267;15,2;2088;0,93;Вис Бик Айдиал;Холмистое;Соверин;3,71;3,073;вкусно;более_2_лет
98;6262;15,1;1985;0,93;Вис Бик Айдиал;Равнинное;Соверин;3,25;3,075;не вкусно;более_2_лет
99;5639;14,7;1727;0,885;Вис Бик Айдиал;Равнинное;Айдиал;3,26;3,071;не вкусно;более_2_лет
100;6059;15,2;2132;0,93;Вис Бик Айдиал;Равнинное;Соверин;3,73;3,077;не вкусно;более_2_лет
101;6724;15,1;1821;0,95;Вис Бик Айдиал;Холмистое;Айдиал;3,72;3,077;не вкусно;более_2_лет
102;6013;15,7;1755;0,93;Вис Бик Айдиал;Холмистое;Соверин;3,71;3,074;вкусно;более_2_лет
103;6248;15,9;2196;0,93;Вис Бик Айдиал;Равнинное;Соверин;3,71;3,072;не вкусно;более_2_лет
104;5591;12,7;1767;0,885;Вис Бик Айдиал;Равнинное;Айдиал;3,26;3,075;не вкусно;менее_2_лет
105;5700;14,4;1934;0,885;Вис Бик Айдиал;Равнинное;Соверин;3,57;3,079;вкусно;более_2_лет
106;6750;15,5;1958;0,95;Вис Бик Айдиал;Холмистое;Айдиал;3,71;3,073;вкусно;более_2_лет
107;5417;13,2;1848;0,89;Вис Бик Айдиал;Холмистое;Соверин;3,57;3,076;вкусно;менее_2_лет
108;6392;14,9;1742;0,93;Вис Бик Айдиал;Равнинное;Айдиал;3,72;3,073;вкусно;более_2_лет
109;5617;13,5;1923;0,89;Вис Бик Айдиал;Равнинное;Айдиал;3,26;3,073;не вкусно;более_2_лет
110;6414;13,9;1808;0,93;Вис Бик Айдиал;Равнинное;Айдиал;3,73;3,078;вкусно;более_2_лет
111;6763;16,3;2246;0,93;Вис Бик Айдиал;Равнинное;Айдиал;3,72;3,074;вкусно;более_2_лет
112;6862;15,6;2208;0,94;Вис Бик Айдиал;Холмистое;Айдиал;3,71;3,076;вкусно;более_2_лет
113;6345;15,8;1715;0,93;Вис Бик Айдиал;Холмистое;Соверин;3,73;3,078;вкусно;более_2_лет
114;5601;13,3;1888;0,89;Вис Бик Айдиал;Холмистое;Соверин;3,57;3,078;вкусно;более_2_лет
115;5412;12,1;1924;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,57;3,071;не вкусно;менее_2_лет
116;6576;16,2;1818;0,93;Вис Бик Айдиал;Равнинное;Айдиал;3,7;3,073;вкусно;более_2_лет
117;5442;13,4;1742;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,58;3,074;не вкусно;менее_2_лет
118;5895;14,1;1800;0,89;Вис Бик Айдиал;Холмистое;Соверин;3,58;3,076;не вкусно;более_2_лет
119;5998;14,2;1873;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,72;3,074;вкусно;более_2_лет
120;5882;14,6;1812;0,89;Вис Бик Айдиал;Холмистое;Соверин;3,58;3,076;вкусно;более_2_лет
121;5784;11,8;1664;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,44;3,073;не вкусно;более_2_лет
122;6350;15,7;1914;0,93;Вис Бик Айдиал;Равнинное;Соверин;3,73;3,075;не вкусно;более_2_лет
123;6109;15,8;2067;0,93;Вис Бик Айдиал;Холмистое;Айдиал;3,58;3,08;вкусно;более_2_лет
124;6605;14,7;1820;0,94;Вис Бик Айдиал;Равнинное;Айдиал;3,72;3,073;вкусно;более_2_лет
125;6209;14,4;2126;0,94;Вис Бик Айдиал;Холмистое;Соверин;3,72;3,074;вкусно;более_2_лет
126;6232;15,8;1879;0,95;Вис Бик Айдиал;Равнинное;Соверин;3,73;3,074;не вкусно;более_2_лет
127;6572;16,6;2081;0,95;Вис Бик Айдиал;Равнинное;Соверин;3,72;3,078;не вкусно;более_2_лет
128;6623;15,5;2108;0,94;Вис Бик Айдиал;Холмистое;Соверин;3,73;3,078;вкусно;более_2_лет
129;6463;16,1;2095;0,95;Вис Бик Айдиал;Равнинное;Соверин;3,73;3,078;вкусно;более_2_лет
130;5692;12,7;1912;0,85;Вис Бик Айдиал;Равнинное;Соверин;3,44;3,074;не вкусно;более_2_лет
131;6607;15,3;2172;0,95;Вис Бик Айдиал;Холмистое;Соверин;3,73;3,075;вкусно;более_2_лет
132;5906;14,7;1720;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,58;3,074;вкусно;более_2_лет
133;6267;13,9;2246;0,94;Вис Бик Айдиал;Холмистое;Соверин;3,73;3,075;вкусно;более_2_лет
134;6730;16,5;1987;0,95;Вис Бик Айдиал;Равнинное;Айдиал;3,72;3,075;не вкусно;более_2_лет
135;6162;15,7;1987;0,94;Вис Бик Айдиал;Холмистое;Соверин;3,73;3,074;вкусно;более_2_лет
136;7207;16,6;2343;0,94;Вис Бик Айдиал;Холмистое;Айдиал;3,72;3,078;вкусно;более_2_лет
137;6081;14,7;2238;0,94;Вис Бик Айдиал;Холмистое;Айдиал;3,58;3,078;вкусно;более_2_лет
138;6707;14,6;2184;0,93;Вис Бик Айдиал;Холмистое;Айдиал;3,72;3,079;не вкусно;более_2_лет
139;6454;16,3;1875;0,95;Вис Бик Айдиал;Холмистое;Соверин;3,72;3,079;вкусно;более_2_лет
140;5833;14,1;1977;0,89;Вис Бик Айдиал;Равнинное;Айдиал;3,58;3,078;вкусно;более_2_лет
141;5397;13,1;1666;0,85;Вис Бик Айдиал;Холмистое;Соверин;3,58;3,075;вкусно;менее_2_лет
142;6502;16,1;1791;0,94;Вис Бик Айдиал;Равнинное;Соверин;3,74;3,078;не вкусно;более_2_лет
143;6553;15,1;2182;0,95;Вис Бик Айдиал;Равнинное;Айдиал;3,73;3,08;не вкусно;более_2_лет
144;5976;13,7;1795;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,58;3,076;не вкусно;более_2_лет
145;6373;14,2;1958;0,93;Вис Бик Айдиал;Холмистое;Айдиал;3,58;3,078;не вкусно;более_2_лет
146;5263;12,3;1960;0,85;Вис Бик Айдиал;Равнинное;Соверин;3,44;3,072;не вкусно;менее_2_лет
147;5340;13,8;1861;0,84;Вис Бик Айдиал;Равнинное;Айдиал;3,38;3,078;не вкусно;менее_2_лет
148;5672;12,3;1815;0,84;Вис Бик Айдиал;Холмистое;Соверин;3,18;3,073;вкусно;более_2_лет
149;6075;15,2;1864;0,94;Вис Бик Айдиал;Холмистое;Соверин;3,71;3,075;вкусно;более_2_лет
150;5675;14,1;1814;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,59;3,077;вкусно;более_2_лет
151;6221;14,7;2156;0,93;Вис Бик Айдиал;Равнинное;Соверин;3,72;3,074;не вкусно;более_2_лет
152;5894;14,8;2097;0,89;Вис Бик Айдиал;Холмистое;Соверин;3,59;3,079;вкусно;более_2_лет
153;5778;13,3;2216;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,59;3,079;вкусно;более_2_лет
154;6288;15,6;1981;0,94;Вис Бик Айдиал;Равнинное;Соверин;3,71;3,076;вкусно;более_2_лет
155;6763;14,6;2126;0,93;Вис Бик Айдиал;Холмистое;Айдиал;3,72;3,075;не вкусно;более_2_лет
156;5421;13,2;2138;0,86;Вис Бик Айдиал;Равнинное;Соверин;3,59;3,073;не вкусно;менее_2_лет
157;5714;11,8;1849;0,86;Вис Бик Айдиал;Холмистое;Айдиал;3,44;3,08;вкусно;более_2_лет
158;5415;12,8;1911;0,86;Вис Бик Айдиал;Холмистое;Соверин;3,59;3,075;вкусно;менее_2_лет
159;5955;14,6;1762;0,89;Вис Бик Айдиал;Равнинное;Айдиал;3,59;3,077;вкусно;более_2_лет
160;6262;14,4;1666;0,93;Вис Бик Айдиал;Равнинное;Айдиал;3,59;3,075;вкусно;более_2_лет
161;5766;14,1;1869;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,59;3,077;не вкусно;более_2_лет
162;6296;14;2188;0,94;Вис Бик Айдиал;Холмистое;Айдиал;3,59;3,08;вкусно;более_2_лет
163;5992;13,1;1676;0,86;Вис Бик Айдиал;Холмистое;Айдиал;3,59;3,072;вкусно;более_2_лет
164;5566;12,1;1802;0,88;Вис Бик Айдиал;Равнинное;Соверин;3,59;3,077;не вкусно;менее_2_лет
165;5763;13,6;1766;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,61;3,071;вкусно;более_2_лет
166;5865;12,3;1691;0,86;Вис Бик Айдиал;Холмистое;Соверин;3,42;3,076;вкусно;более_2_лет
167;6672;16,7;1952;0,94;Вис Бик Айдиал;Холмистое;Соверин;3,71;3,072;вкусно;более_2_лет
168;6399;15,3;2086;0,93;Вис Бик Айдиал;Холмистое;Айдиал;3,61;3,078;не вкусно;более_2_лет
169;5869;12,9;1804;0,86;Вис Бик Айдиал;Холмистое;Айдиал;3,42;3,077;не вкусно;более_2_лет
170;5956;13,2;2062;0,89;Вис Бик Айдиал;Равнинное;Айдиал;3,61;3,077;не вкусно;более_2_лет
171;5848;16,1;1661;0,89;Вис Бик Айдиал;Холмистое;Соверин;3,61;3,076;вкусно;более_2_лет
172;6441;14,1;2109;0,94;Вис Бик Айдиал;Равнинное;Айдиал;3,73;3,08;вкусно;более_2_лет
173;5441;12,4;1710;0,86;Вис Бик Айдиал;Равнинное;Соверин;3,61;3,074;не вкусно;менее_2_лет
174;5342;13,7;1994;0,86;Вис Бик Айдиал;Холмистое;Соверин;3,42;3,074;вкусно;менее_2_лет
175;7043;15,7;2041;0,94;Вис Бик Айдиал;Холмистое;Айдиал;3,71;3,074;вкусно;более_2_лет
176;6245;14,2;1846;0,93;Вис Бик Айдиал;Холмистое;Айдиал;3,61;3,078;не вкусно;более_2_лет
177;7141;16,5;2082;0,94;Вис Бик Айдиал;Холмистое;Айдиал;3,71;3,075;вкусно;более_2_лет
178;6800;15,3;1824;0,94;Вис Бик Айдиал;Холмистое;Айдиал;3,71;3,074;вкусно;более_2_лет
179;5716;13,6;1986;0,89;Вис Бик Айдиал;Холмистое;Соверин;3,61;3,081;вкусно;более_2_лет
180;6478;15,4;1799;0,94;Вис Бик Айдиал;Равнинное;Айдиал;3,71;3,077;вкусно;более_2_лет
181;5367;13,1;1720;0,86;Вис Бик Айдиал;Равнинное;Соверин;3,42;3,072;не вкусно;менее_2_лет
182;6502;16,5;2324;0,95;Вис Бик Айдиал;Равнинное;Соверин;3,74;3,079;не вкусно;более_2_лет
183;5456;13,8;1798;0,86;Вис Бик Айдиал;Равнинное;Соверин;3,61;3,071;не вкусно;менее_2_лет
184;6106;14,2;1706;0,94;Вис Бик Айдиал;Холмистое;Соверин;3,73;3,074;вкусно;более_2_лет
185;6112;15,8;1833;0,94;Вис Бик Айдиал;Равнинное;Соверин;3,71;3,077;вкусно;более_2_лет
186;6063;14,9;1843;0,94;Вис Бик Айдиал;Равнинное;Айдиал;3,61;3,076;не вкусно;более_2_лет
187;6186;14,7;1817;0,94;Вис Бик Айдиал;Холмистое;Айдиал;3,61;3,077;вкусно;более_2_лет
188;6513;14,9;1813;0,93;Вис Бик Айдиал;Холмистое;Айдиал;3,62;3,075;не вкусно;более_2_лет
189;6501;15,6;2233;0,94;Вис Бик Айдиал;Равнинное;Соверин;3,71;3,074;не вкусно;более_2_лет
190;6524;16,2;1880;0,94;Вис Бик Айдиал;Холмистое;Соверин;3,73;3,076;вкусно;более_2_лет
191;6420;16,6;1966;0,96;Вис Бик Айдиал;Равнинное;Соверин;3,73;3,077;вкусно;более_2_лет
192;5901;13,1;2137;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,62;3,075;не вкусно;более_2_лет
193;6406;16,4;1812;0,94;Вис Бик Айдиал;Равнинное;Соверин;3,72;3,072;вкусно;более_2_лет
194;5570;12,7;1875;0,86;Вис Бик Айдиал;Равнинное;Айдиал;3,42;3,078;не вкусно;менее_2_лет
195;7113;15,5;2074;0,94;Вис Бик Айдиал;Холмистое;Айдиал;3,72;3,072;вкусно;более_2_лет
196;5891;13,7;1856;0,89;Вис Бик Айдиал;Холмистое;Соверин;3,62;3,076;вкусно;более_2_лет
197;6366;14,6;2125;0,93;Вис Бик Айдиал;Холмистое;Айдиал;3,62;3,077;не вкусно;более_2_лет
198;6343;14,4;2063;0,94;Вис Бик Айдиал;Холмистое;Айдиал;3,62;3,079;вкусно;более_2_лет
199;6418;15,4;1998;0,94;Вис Бик Айдиал;Холмистое;Соверин;3,73;3,08;вкусно;более_2_лет
200;6238;15,2;1876;0,93;Вис Бик Айдиал;Холмистое;Айдиал;3,62;3,076;не вкусно;более_2_лет
201;5443;13,2;2130;0,86;Вис Бик Айдиал;Равнинное;Соверин;3,62;3,076;не вкусно;менее_2_лет
202;6473;16,5;2033;0,95;Вис Бик Айдиал;Холмистое;Соверин;3,73;3,078;вкусно;более_2_лет
203;6112;16,4;1871;0,94;Вис Бик Айдиал;Равнинное;Соверин;3,72;3,079;вкусно;более_2_лет
204;7001;15,8;1960;0,94;Вис Бик Айдиал;Холмистое;Айдиал;3,73;3,071;вкусно;более_2_лет
205;6038;14,7;1894;0,95;Вис Бик Айдиал;Равнинное;Соверин;3,75;3,081;вкусно;более_2_лет
206;6550;14,6;2263;0,94;Вис Бик Айдиал;Равнинное;Айдиал;3,74;3,079;вкусно;более_2_лет
207;5913;13,2;1972;0,88;Вис Бик Айдиал;Холмистое;Соверин;3,62;3,077;не вкусно;более_2_лет
208;5845;14,8;1763;0,9;Вис Бик Айдиал;Равнинное;Соверин;3,62;3,073;не вкусно;более_2_лет
209;6164;16,1;2229;0,94;Вис Бик Айдиал;Равнинное;Соверин;3,74;3,076;вкусно;более_2_лет
210;5941;13,8;1685;0,84;Вис Бик Айдиал;Равнинное;Соверин;3,41;3,076;не вкусно;более_2_лет
211;6723;16,4;1894;0,94;Вис Бик Айдиал;Равнинное;Айдиал;3,72;3,074;вкусно;более_2_лет
212;5415;11,9;1711;0,86;Вис Бик Айдиал;Равнинное;Айдиал;3,42;3,073;не вкусно;менее_2_лет
213;5637;12,3;2087;0,86;Вис Бик Айдиал;Холмистое;Айдиал;3,42;3,08;вкусно;более_2_лет
214;6081;13,6;1816;0,93;Вис Бик Айдиал;Равнинное;Соверин;3,72;3,074;не вкусно;более_2_лет
215;5604;13,3;1731;0,88;Вис Бик Айдиал;Равнинное;Соверин;3,62;3,074;не вкусно;более_2_лет
216;5795;12,7;1687;0,86;Вис Бик Айдиал;Холмистое;Айдиал;3,42;3,076;не вкусно;более_2_лет
217;6704;14,2;1800;0,93;Вис Бик Айдиал;Холмистое;Айдиал;3,71;3,072;не вкусно;более_2_лет
218;6559;14,7;1796;0,93;Вис Бик Айдиал;Холмистое;Айдиал;3,71;3,073;не вкусно;более_2_лет
219;6456;16,5;1687;0,94;Вис Бик Айдиал;Равнинное;Айдиал;3,72;3,073;вкусно;более_2_лет
220;6110;15,2;2136;0,94;Вис Бик Айдиал;Холмистое;Соверин;3,71;3,074;вкусно;более_2_лет
221;5322;12,5;1735;0,86;Вис Бик Айдиал;Холмистое;Соверин;3,42;3,075;не вкусно;менее_2_лет
222;6745;15,4;1844;0,94;Вис Бик Айдиал;Равнинное;Айдиал;3,71;3,072;не вкусно;более_2_лет
223;5571;12,9;1998;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,62;3,077;вкусно;менее_2_лет
224;6656;16,2;1688;0,93;Вис Бик Айдиал;Равнинное;Айдиал;3,71;3,076;вкусно;более_2_лет
225;5546;13,3;1738;0,89;Вис Бик Айдиал;Равнинное;Айдиал;3,27;3,074;вкусно;менее_2_лет
226;6755;15,9;1816;0,93;Вис Бик Айдиал;Равнинное;Айдиал;3,73;3,074;вкусно;более_2_лет
227;7100;16,6;2293;0,95;Вис Бик Айдиал;Холмистое;Айдиал;3,72;3,079;вкусно;более_2_лет
228;5283;12,5;1879;0,89;Вис Бик Айдиал;Равнинное;Соверин;3,27;3,076;вкусно;менее_2_лет
