id,dept,level,workload,employment_years,last_year_promo,last_year_violations,supervisor_evaluation,salary,job_satisfaction_rate
197817,sales,middle,medium,4,no,no,4,38400,0.68
630291,hr,junior,medium,2,no,no,3,22800,0.28
108962,sales,middle,low,2,no,no,4,19200,0.58
632214,sales,middle,medium,6,no,yes,4,43200,0.59
290567,technology,junior,medium,4,no,no,3,26400,0.26
551834,purchasing,junior,low,1,no,no,4,15600,0.61
366884,purchasing,middle,medium,7,no,no,3,33600,0.51
986528,sales,middle,low,7,no,yes,4,28800,0.74
192446,marketing,middle,low,1,yes,no,5,26400,0.75
882285,marketing,middle,low,2,no,no,4,20400,0.58
293728,sales,middle,medium,6,no,no,3,40800,0.57
744464,marketing,junior,medium,1,no,yes,4,28800,0.56
764200,purchasing,middle,high,8,no,yes,3,54000,0.44
338798,technology,middle,low,7,no,no,3,33600,0.49
441572,purchasing,middle,high,7,no,no,4,50400,0.6
662887,technology,middle,medium,6,no,no,3,45600,0.52
953083,technology,middle,low,5,no,yes,3,33600,0.33
855683,sales,junior,medium,1,no,no,5,25200,0.73
316587,purchasing,junior,medium,3,no,no,5,25200,0.76
262444,purchasing,junior,medium,1,no,no,4,25200,0.65
472960,hr,junior,medium,3,no,yes,2,30000,0.38
945047,purchasing,junior,medium,1,no,yes,4,22800,0.35
318905,technology,junior,low,3,no,no,3,22800,0.58
164674,marketing,middle,medium,5,no,no,2,40800,0.44
821791,technology,middle,high,3,no,no,5,64800,0.68
960700,sales,middle,medium,4,no,yes,2,37200,0.04
781702,purchasing,junior,low,1,no,no,3,12000,0.19
980972,hr,junior,medium,3,no,no,4,30000,0.82
364146,sales,middle,medium,7,no,yes,2,42000,0.4
339371,purchasing,middle,low,5,no,no,3,28800,0.43
850093,purchasing,middle,high,3,no,no,4,49200,0.42
925323,technology,junior,low,2,no,no,2,14400,0.4
446360,sales,junior,medium,1,no,no,5,28800,0.71
545971,sales,junior,low,1,no,no,3,18000,0.31
235489,hr,junior,medium,3,no,no,5,24000,0.67
343330,hr,middle,medium,5,yes,no,3,40800,0.79
541183,technology,junior,medium,2,no,no,2,25200,0.36
210410,sales,junior,medium,1,no,no,3,21600,0.23
458941,sales,middle,medium,5,no,no,4,43200,0.81
876633,sales,junior,low,1,no,no,3,12000,0.1
833534,marketing,middle,medium,4,yes,no,4,36000,0.67
778563,marketing,sinior,medium,6,no,no,3,61200,0.25
805026,sales,junior,medium,1,no,yes,3,24000,0.23
859046,marketing,middle,medium,8,no,yes,3,44400,0.33
828186,technology,middle,high,5,no,no,3,57600,0.57
615317,sales,middle,medium,7,no,no,3,33600,0.31
920983,sales,junior,high,1,no,no,5,33600,0.78
657355,hr,middle,medium,2,no,no,4,34800,0.45
760624,technology,middle,medium,5,no,no,3,51600,0.51
628206,marketing,middle,low,4,no,no,3,20400,0.24
412868,sales,junior,medium,1,no,no,4,25200,0.7
292206,hr,middle,medium,9,no,no,3,39600,0.47
108560,sales,sinior,high,2,no,no,1,68400,0.16
316603,sales,junior,low,3,no,no,3,18000,0.5
137188,technology,junior,low,2,no,no,4,19200,0.89
618789,technology,junior,medium,2,no,no,3,33600,0.43
500434,hr,junior,low,2,no,yes,4,16800,0.6
541512,marketing,junior,medium,1,no,no,5,24000,0.42
944471,marketing,junior,low,1,no,no,5,16800,0.79
854386,marketing,middle,low,6,no,no,3,30000,0.44
827464,technology,middle,medium,9,no,no,4,50400,0.75
716287,sales,junior,low,1,no,no,2,12000,0.23
425755,purchasing,middle,medium,8,no,yes,2,42000,0.36
228333,purchasing,junior,low,1,no,no,1,12000,0.24
441108,sales,junior,high,1,no,no,4,34800,0.79
887730,sales,junior,low,4,no,yes,4,12000,0.58
976096,technology,junior,medium,1,no,no,4,31200,0.62
237086,sales,junior,medium,1,no,yes,2,20400,0.09
266714,purchasing,junior,high,2,no,yes,4,36000,0.59
637228,purchasing,junior,medium,1,no,no,4,30000,0.68
314469,purchasing,middle,medium,9,no,no,5,39600,0.8
382709,purchasing,junior,medium,1,no,no,4,26400,0.71
142866,marketing,junior,medium,1,no,no,5,27600,0.74
972463,technology,middle,medium,6,yes,no,3,50400,0.67
740901,sales,junior,low,1,no,no,3,14400,0.22
337564,marketing,middle,low,3,no,no,5,26400,0.63
607995,technology,middle,high,4,yes,no,5,63600,0.83
193375,sales,middle,medium,1,no,no,2,42000,0.28
349478,sales,junior,medium,1,no,no,5,28800,0.69
228902,hr,middle,high,5,no,no,1,48000,0.33
433880,marketing,middle,low,6,no,no,2,30000,0.51
902122,hr,middle,medium,8,no,no,3,39600,0.56
410570,sales,middle,low,5,no,yes,4,28800,0.7
620517,sales,middle,high,3,no,no,4,49200,0.53
729352,sales,middle,medium,4,no,no,2,37200,0.13
758415,technology,middle,high,1,yes,yes,2,55200,0.15
425330,sales,middle,low,4,no,no,4,28800,0.68
635254,marketing,junior,medium,3,no,yes,3,27600,0.37
894649,marketing,junior,low,2,no,no,3,13200,0.29
532173,sales,middle,medium,4,no,yes,4,43200,0.48
874612,purchasing,middle,high,1,no,no,2,57600,0.38
567556,marketing,middle,medium,2,no,yes,3,40800,0.22
442869,technology,middle,medium,8,no,no,4,45600,0.95
682864,sales,middle,low,1,no,no,4,19200,0.45
420001,purchasing,junior,medium,1,no,no,3,28800,0.38
697326,sales,junior,low,1,no,no,4,15600,0.67
867424,technology,junior,medium,5,no,no,3,26400,0.28
977465,marketing,middle,medium,7,no,no,3,39600,0.41
385648,sales,middle,medium,8,no,no,5,34800,0.66
893356,technology,middle,low,6,no,no,1,32400,0.58
343711,sales,junior,medium,1,no,no,5,27600,0.67
322838,sales,sinior,high,5,yes,no,4,64800,0.65
523341,hr,middle,low,4,no,no,4,25200,0.62
513861,technology,junior,medium,3,no,no,3,30000,0.41
522980,marketing,junior,medium,1,no,no,3,31200,0.39
297222,hr,middle,low,8,no,yes,3,24000,0.3
547578,hr,middle,medium,4,no,no,3,33600,0.33
504426,sales,junior,low,2,no,no,4,12000,0.6
818407,sales,middle,low,4,no,no,5,24000,0.62
119382,sales,middle,medium,1,no,no,5,33600,0.43
944700,purchasing,middle,medium,3,no,no,3,42000,0.47
977552,sales,junior,high,4,no,no,3,30000,0.54
292210,technology,sinior,medium,3,no,yes,4,56400,0.35
170292,technology,junior,medium,4,no,yes,3,33600,0.27
123373,purchasing,junior,low,1,no,no,5,19200,0.62
228136,sales,junior,medium,1,no,no,2,26400,0.26
301319,purchasing,junior,medium,2,no,no,4,28800,0.93
904973,technology,junior,medium,1,no,yes,2,25200,0.04
335471,sales,middle,medium,1,no,no,2,32400,0.23
637383,purchasing,junior,medium,2,no,no,4,25200,0.75
477118,sales,middle,low,4,no,no,5,24000,0.69
395258,sales,junior,medium,5,no,yes,3,21600,0.13
266019,purchasing,junior,medium,2,no,no,3,28800,0.58
451914,marketing,junior,medium,3,no,yes,3,26400,0.2
430631,technology,junior,low,2,no,no,1,21600,0.46
126397,hr,middle,high,5,no,no,3,54000,0.54
420684,hr,middle,low,5,no,no,4,30000,0.78
683959,sales,junior,low,3,no,yes,4,18000,0.63
118705,hr,junior,high,1,no,no,3,40800,0.35
156372,sales,sinior,medium,4,no,no,5,57600,0.65
785419,purchasing,junior,low,2,no,no,4,15600,0.81
956451,sales,sinior,medium,5,no,no,3,58800,0.29
458510,technology,junior,low,1,no,yes,3,19200,0.14
584819,marketing,middle,high,6,no,no,3,50400,0.4
938414,technology,junior,medium,3,no,no,4,31200,0.79
877587,marketing,middle,medium,2,no,no,4,46800,0.67
414255,marketing,junior,medium,1,no,no,4,27600,0.73
465432,hr,middle,medium,7,no,no,4,45600,0.79
665974,sales,middle,high,2,no,yes,3,55200,0.14
709419,sales,sinior,medium,9,no,no,5,54000,0.85
910746,sales,middle,high,7,no,yes,3,55200,0.41
703621,marketing,middle,high,1,no,no,3,61200,0.36
724804,sales,middle,medium,4,yes,no,4,33600,0.65
405345,marketing,sinior,high,7,no,no,2,81600,0.58
197880,sales,middle,medium,4,no,no,5,34800,0.54
531825,technology,middle,low,1,no,no,1,26400,0.13
673092,technology,junior,medium,1,no,no,4,34800,0.69
457411,sales,middle,medium,9,no,no,4,33600,0.69
368338,hr,junior,low,4,no,no,4,16800,0.93
571789,technology,junior,high,2,no,yes,3,38400,0.2
285852,technology,junior,medium,2,no,yes,3,34800,0.25
620902,hr,middle,medium,6,no,no,3,43200,0.74
841861,marketing,junior,low,2,no,no,5,14400,0.65
470675,marketing,middle,medium,7,no,no,5,46800,0.82
716459,technology,junior,low,1,no,no,4,19200,0.67
188395,marketing,middle,medium,2,no,no,3,36000,0.24
529450,sales,sinior,low,6,no,no,4,25200,0.56
476035,sales,middle,high,7,no,no,4,58800,0.87
676405,sales,middle,low,5,no,yes,3,24000,0.36
568188,purchasing,junior,high,1,no,no,1,31200,0.11
931980,hr,sinior,medium,9,no,no,4,48000,0.7
622997,sales,middle,medium,3,no,yes,1,32400,0.08
713795,sales,junior,low,1,no,no,5,12000,0.57
482583,marketing,middle,medium,6,no,no,3,36000,0.35
580210,technology,middle,low,4,no,no,3,32400,0.38
242819,technology,middle,medium,5,no,yes,3,50400,0.37
500435,technology,junior,low,3,no,no,4,19200,0.84
408043,sales,middle,high,5,no,no,4,52800,0.78
826659,sales,middle,medium,5,no,yes,4,33600,0.43
830598,hr,middle,low,2,no,no,4,30000,0.68
689569,purchasing,junior,low,1,no,no,5,19200,0.7
125547,technology,middle,high,7,no,yes,3,66000,0.57
493420,hr,middle,medium,2,no,no,3,33600,0.36
662073,hr,junior,low,2,no,no,4,19200,0.82
989771,sales,junior,medium,4,no,no,4,21600,0.73
535446,sales,junior,medium,2,no,no,4,25200,0.79
712221,sales,junior,low,1,no,no,3,18000,0.27
162122,purchasing,middle,medium,2,no,no,5,36000,0.42
384627,technology,junior,low,2,no,no,4,15600,0.68
643789,sales,junior,low,5,no,no,4,19200,0.91
112348,technology,junior,low,1,no,no,4,19200,0.59
936773,technology,junior,medium,3,no,no,4,34800,0.77
860377,marketing,middle,low,5,no,yes,4,20400,0.38
323892,technology,junior,low,1,no,no,4,15600,0.47
845987,marketing,junior,medium,1,no,no,4,27600,0.6
539588,technology,middle,high,3,no,yes,4,62400,0.47
362496,technology,junior,low,1,no,no,4,15600,0.53
889606,technology,junior,medium,4,no,no,4,31200,0.94
101129,technology,junior,medium,1,no,no,4,34800,0.71
312260,technology,middle,low,2,no,no,4,34800,0.61
450603,purchasing,middle,low,6,no,no,3,18000,0.39
173878,purchasing,middle,medium,3,yes,no,3,42000,0.69
702814,purchasing,sinior,medium,3,no,no,4,61200,0.61
478041,technology,middle,low,2,no,no,3,28800,0.26
783080,sales,junior,low,2,no,no,4,15600,0.8
776621,hr,middle,medium,4,no,no,3,40800,0.51
440069,marketing,middle,high,8,no,no,3,51600,0.35
520869,sales,middle,high,5,yes,no,2,45600,0.48
875850,marketing,middle,low,7,no,no,5,26400,0.91
249025,technology,sinior,medium,2,no,yes,2,61200,0.07
249057,purchasing,junior,low,2,no,no,4,12000,0.61
842517,technology,junior,low,2,no,no,5,22800,0.87
969419,marketing,junior,medium,1,no,no,3,30000,0.41
570928,purchasing,junior,medium,1,no,no,3,28800,0.39
499902,technology,junior,medium,3,no,no,2,33600,0.56
723549,technology,junior,medium,4,no,yes,1,30000,0.17
773664,marketing,junior,low,2,no,no,4,20400,0.92
602303,hr,junior,low,1,no,no,4,13200,0.58
103343,technology,sinior,medium,5,no,no,4,63600,0.7
233612,sales,junior,low,3,no,yes,3,18000,0.35
399126,sales,sinior,high,2,no,no,2,76800,0.26
203326,sales,junior,low,2,no,yes,3,14400,0.11
973471,technology,middle,medium,6,no,no,3,44400,0.37
464364,sales,junior,medium,2,no,no,1,26400,0.57
219417,technology,middle,medium,5,no,yes,2,49200,0.39
340603,technology,middle,high,8,no,no,4,68400,0.85
945525,purchasing,junior,medium,2,no,yes,2,25200,0.39
154154,sales,middle,low,7,no,yes,3,27600,0.26
129167,sales,junior,medium,1,no,no,5,21600,0.55
819598,sales,middle,medium,2,no,yes,2,37200,0.09
302957,purchasing,junior,low,1,no,no,4,15600,0.61
734637,sales,middle,low,8,no,yes,3,24000,0.36
338675,sales,middle,low,5,no,no,3,22800,0.34
340276,hr,middle,high,6,no,yes,1,52800,0.16
840074,marketing,junior,low,1,no,no,4,20400,0.9
654641,sales,middle,low,7,no,no,5,25200,0.84
291193,marketing,junior,medium,3,no,no,3,26400,0.37
437731,sales,middle,low,6,no,no,4,28800,0.8
784018,sales,middle,low,7,no,no,3,27600,0.57
256678,hr,middle,high,2,no,no,3,49200,0.36
486834,technology,middle,low,3,no,no,3,33600,0.34
930557,hr,middle,high,5,no,no,3,55200,0.65
665109,purchasing,middle,low,5,no,no,3,24000,0.43
908254,marketing,sinior,high,4,no,no,5,68400,0.54
573139,sales,middle,low,5,no,yes,4,28800,0.68
789118,sales,junior,low,1,no,no,4,12000,0.45
191900,technology,junior,medium,3,no,no,3,30000,0.33
864636,technology,middle,high,6,no,no,4,69600,0.81
445018,hr,junior,medium,2,no,no,4,26400,0.77
132271,sales,sinior,medium,9,no,yes,3,51600,0.35
169472,marketing,middle,medium,7,no,no,2,39600,0.4
338537,hr,middle,low,10,no,yes,3,24000,0.39
524604,sales,middle,medium,2,no,no,4,43200,0.69
778478,sales,junior,medium,3,no,no,3,24000,0.42
658549,sales,junior,low,1,no,no,4,12000,0.47
452064,purchasing,junior,medium,1,no,no,2,21600,0.11
132424,technology,junior,medium,2,no,no,1,33600,0.56
286584,sales,middle,low,5,no,no,4,19200,0.68
541842,technology,middle,medium,6,no,no,3,44400,0.34
154611,sales,middle,medium,6,no,no,5,33600,0.63
968370,purchasing,middle,medium,3,no,no,4,44400,0.7
570083,sales,junior,medium,1,no,no,2,24000,0.4
256960,sales,sinior,medium,5,no,yes,4,45600,0.37
534237,hr,middle,low,3,no,no,5,25200,0.67
855326,sales,middle,high,6,no,yes,3,48000,0.16
547149,purchasing,junior,high,2,no,no,4,34800,0.7
800717,marketing,middle,medium,6,yes,no,2,34800,0.43
738243,technology,middle,high,1,no,no,2,66000,0.36
363647,sales,middle,medium,10,no,no,4,33600,0.69
956212,purchasing,junior,low,1,no,no,4,15600,0.73
829705,sales,sinior,medium,8,no,no,4,45600,0.69
419325,technology,junior,medium,2,no,no,4,36000,0.91
359967,hr,sinior,medium,3,no,no,4,61200,0.69
973747,sales,junior,medium,1,no,no,4,21600,0.46
743208,technology,junior,medium,4,no,no,4,34800,0.76
823673,technology,junior,medium,1,no,no,4,27600,0.49
798676,sales,middle,low,5,no,no,4,19200,0.7
146444,technology,junior,medium,1,no,no,5,31200,0.62
410789,sales,junior,low,1,no,yes,3,14400,0.07
596412,purchasing,middle,medium,7,no,no,5,33600,0.7
522407,marketing,junior,medium,4,no,yes,2,27600,0.32
900904,technology,middle,medium,6,no,no,3,39600,0.41
409648,hr,middle,medium,10,no,no,4,45600,0.84
523368,sales,sinior,high,7,no,no,4,66000,0.6
187448,hr,junior,low,2,no,no,4,13200,0.71
182949,marketing,middle,high,4,no,no,3,55200,0.24
240118,technology,middle,medium,7,no,no,5,45600,0.89
590999,purchasing,sinior,high,10,no,yes,4,74400,0.74
716625,sales,middle,medium,4,no,no,4,38400,0.62
900098,sales,junior,medium,2,no,no,5,21600,0.59
343775,sales,junior,medium,4,no,yes,1,20400,0.16
909751,technology,junior,low,1,no,no,4,22800,0.63
638835,technology,middle,medium,2,no,no,1,49200,0.3
240339,sales,middle,medium,7,no,no,5,43200,0.85
141834,marketing,middle,high,6,no,no,3,51600,0.33
752399,sales,middle,low,7,no,no,4,28800,0.77
698610,sales,junior,medium,1,no,no,4,21600,0.43
753100,sales,junior,low,4,no,no,4,15600,0.76
801268,sales,middle,medium,3,no,no,5,39600,0.72
710134,sales,junior,low,2,no,no,3,18000,0.44
808766,sales,middle,low,8,no,no,5,28800,0.75
184712,hr,junior,medium,1,no,no,3,26400,0.34
608055,purchasing,sinior,medium,10,no,no,4,58800,0.84
