id;Имя Папы
479;Барин
480;Барин
481;Буйный
482;Буйный
483;Барин
484;Буйный
485;Барин
486;Буйный
487;Барин
488;Буйный
489;Буйный
490;Соловчик
491;Буйный
492;Барин
493;Геркулес
494;Соловчик
495;Барин
496;Соловчик
497;Барин
498;Барин
499;Буйный
500;Буйный
501;Барин
502;Барин
503;Соловчик
504;Буйный
505;Геркулес
506;Геркулес
507;Буйный
508;Буйный
509;Соловчик
510;Барин
511;Барин
512;Барин
513;Барин
514;Буйный
515;Буйный
516;Буйный
517;Буйный
518;Буйный
519;Барин
520;Буйный
521;Соловчик
522;Барин
523;Барин
524;Соловчик
525;Буйный
526;Барин
527;Барин
528;Буйный
529;Соловчик
530;Буйный
531;Буйный
532;Барин
533;Соловчик
534;Соловчик
535;Геркулес
536;Геркулес
537;Барин
538;Барин
539;Соловчик
540;Барин
541;Барин
542;Буйный
543;Геркулес
544;Буйный
545;Барин
546;Буйный
547;Барин
548;Соловчик
549;Буйный
550;Буйный
551;Буйный
552;Барин
553;Буйный
554;Барин
555;Буйный
556;Барин
557;Буйный
558;Буйный
559;Барин
560;Барин
561;Соловчик
562;Соловчик
563;Соловчик
564;Буйный
565;Барин
566;Геркулес
567;Буйный
568;Геркулес
569;Соловчик
570;Буйный
571;Барин
572;Соловчик
573;Барин
574;Буйный
575;Барин
576;Буйный
577;Соловчик
578;Буйный
579;Барин
580;Барин
581;Барин
582;Барин
583;Геркулес
584;Буйный
585;Барин
586;Барин
587;Буйный
588;Буйный
589;Барин
590;Барин
591;Буйный
592;Соловчик
593;Соловчик
594;Буйный
595;Буйный
596;Барин
597;Барин
598;Соловчик
599;Барин
600;Буйный
601;Барин
602;Буйный
603;Геркулес
604;Буйный
605;Барин
606;Соловчик
607;Буйный
608;Соловчик
609;Соловчик
610;Буйный
611;Барин
612;Барин
613;Буйный
614;Соловчик
615;Буйный
616;Буйный
617;Буйный
618;Геркулес
619;Буйный
620;Соловчик
621;Буйный
622;Буйный
623;Барин
624;Барин
625;Буйный
626;Барин
627;Барин
628;Барин
629;Соловчик
